	Word	PoS	FrSp		LL	FrWr
	chocolate	NoC	44	+	235.3	18
	file	NoC	44	-	35.0	58
	Q / q	Lett	44	+	330.0	15
	material	NoC	44	-	884.1	141
	hill	NoC	43	-	41.9	59
	sound	NoC	43	-	488.7	109
	equal	Adj	43	-	62.1	63
	spoke	Verb	43	-	129.6	73
	out	Prep	43	+	835.6	6
	garage	NoC	43	+	231.6	18
	natural	Adj	43	-	1060.8	154
	obvious	Adj	43	-	284.9	90
	rules	NoC	43	-	527.5	112
	Mike	NoP	43	+	0.1	43
	younger	Adj	43	-	20.0	54
	such as	Prep	43	-	4252.5	354
	March	NoP	43	-	1109.8	157
	forgot	Verb	43	+	393.2	13
	systems	NoC	43	-	1558.4	188
	left	NoC	43	+	24.1	33
	address	NoC	43	-	14.5	52
	views	NoC	43	-	177.4	78
	economy	NoC	43	-	535.0	112
	response	NoC	43	-	468.3	106
	exercise	NoC	43	-	81.2	65
	produced	Verb	43	-	877.1	139
	branch	NoC	43	-	24.2	54
	results	NoC	43	-	1157.2	159
	goal	NoC	43	-	59.3	61
	spirit	NoC	43	-	97.2	67
	whose	DetP	43	-	2013.3	216
	separate	Adj	43	-	204.2	80
	honestly	Adv	43	+	449.0	11
	families	NoC	43	-	273.5	88
	Freud	NoP	43	+	379.9	13
	strange	Adj	42	-	94.0	66
	shame	NoC	42	+	255.3	16
	seriously	Adv	42	-	47.5	59
	sorted	Verb	42	+	541.6	9
	lower	Adj	42	-	630.0	119
	immediately	Adv	42	-	507.1	109
	Andrew	NoP	42	-	1.7	45
	character	NoC	42	-	314.1	91
	agreement	NoC	42	-	949.4	143
	base	NoC	42	-	316.8	92
	suggested	Verb	42	-	569.2	114
	smaller	Adj	42	-	175.4	77
	fell	Verb	42	-	503.8	108
	ladies	NoC	42	+	28.3	32
	telly	NoC	42	+	907.0	4
	advance	NoC	42	+	9.9	36
	offer	Verb	42	-	470.8	105
	lad	NoC	42	+	229.9	17
	complete	Adj	42	-	413.1	100
	Tom	NoP	42	-	40.3	57
	century	NoC	42	-	2022.1	215
	everywhere	Adv	42	+	30.6	31
	degree	NoC	42	-	488.4	106
	waste	NoC	42	-	28.3	54
	enjoyed	Verb	42	-	20.4	52
	cover	NoC	42	-	8.3	48
	tells	Verb	42	+	7.4	36
	miss*	NoC	42	-	377.8	96
	rain	NoC	42	-	85.0	64
	forgotten	Verb	42	+	4.5	37
	etcetera	Adv	42	+	1520.5	1
	raised	Verb	42	-	437.7	102
	Ian	NoP	42	-	32.0	55
	meal	NoC	42	-	0.3	43
	Robert	NoP	41	-	247.5	84
	as it were	Adv	41	+	686.6	7
	noise	NoC	41	-	6.6	47
	washing	NoC	41	+	370.1	12
	February	NoP	41	-	299.7	89
	eating	Verb	41	+	42.7	29
	wind	NoC	41	-	168.0	75
	die	Verb	41	-	34.6	55
	legal	Adj	41	-	944.9	141
	good	NoC	41	+	110.7	23
	ill	Adj	41	-	6.1	47
	break	NoC	41	+	8.8	35
	discuss	Verb	41	-	50.6	58
	organization	NoC	41	-	101.9	66
	direct	Adj	41	-	564.2	112
	fault	NoC	41	+	15.7	33
	stuck	Verb	41	+	148.5	20
	library	NoC	41	-	287.0	87
	dear	Adj	41	+	7.1	36
	science	NoC	41	-	589.0	113
	fuck	Verb	41	+	750.5	6
	director	NoC	41	-	813.6	131
	roads	NoC	41	+	0.9	39
	meat	NoC	41	+	7.4	35
	message	NoC	41	-	158.4	73
	opinion	NoC	41	-	216.2	79
	dry	Adj	41	-	41.8	56
	doors	NoC	41	-	13.5	49
	hm	Int	41	+	1626.3	1
	January	NoP	41	-	534.5	109
	rule	NoC	41	-	285.9	86
	cream	NoC	41	+	30.2	30
	additional	Adj	41	-	200.2	77
	cheese	NoC	41	+	83.7	24
	lives	NoC	41	-	251.9	83
	pictures	NoC	40	-	43.4	56
	toilet	NoC	40	+	342.0	13
	doo	Uncl	40	+	1654.7	0
	commission	NoC	40	-	550.6	110
	direction	NoC	40	-	351.7	92
	entirely	Adv	40	-	158.4	72
	agenda	NoC	40	+	117.3	22
	over here	Adv	40	+	746.7	6
	rang	Verb	40	+	67.2	25
	sixth	Ord	40	+	87.9	24
	shows	Verb	40	-	504.9	105
	France	NoP	40	-	851.7	133
	wash	Verb	40	+	274.4	14
	key	Adj	40	-	229.1	80
	animals	NoC	40	-	342.5	91
	raise	Verb	40	-	95.0	64
	killed	Verb	40	-	344.8	91
	shown	Verb	40	-	1283.5	163
	ran	Verb	40	-	364.6	93
	attitude	NoC	40	-	88.4	62
	talk	NoC	40	-	0.3	41
	forms	NoC	40	-	508.2	105
	close	Verb	40	+	6.9	35
	squared	Verb	40	+	1248.0	2
	election	NoC	40	-	499.5	104
	fully	Adv	40	-	395.1	95
	panel	NoC	40	+	2.3	37
	estate	NoC	40	-	49.3	56
	straight	Adj	40	+	22.9	30
	games	NoC	40	-	109.3	65
	French	Adj	40	-	1031.4	145
	for	Conj	40	-	1120.3	151
	safe	Adj	40	-	143.7	69
	dropped	Verb	40	-	70.9	59
	winter	NoC	40	-	186.5	74
	dark	Adj	39	-	591.3	111
	significant	Adj	39	-	835.1	130
	Terry	NoP	39	+	79.0	24
	skills	NoC	39	-	424.0	97
	farm	NoC	39	-	165.9	72
	Sarah	NoP	39	+	6.6	34
	products	NoC	39	-	626.6	114
	either	DetP	39	-	78.0	60
	future	Adj	39	-	346.2	90
	referred	Verb	39	-	111.1	65
	considered	Verb	39	-	1037.6	144
	achieve	Verb	39	-	160.3	71
	wine	NoC	39	-	118.5	66
	stock	NoC	39	-	247.1	80
	share	Verb	39	-	50.0	55
	wedding	NoC	39	+	10.9	33
	pain	NoC	39	-	217.7	77
	sugar	NoC	39	+	2.6	36
	association	NoC	39	-	760.7	124
	hoping	Verb	39	+	4.3	35
	notice	NoC	39	-	70.0	59
	background	NoC	39	-	111.3	64
	trust	NoC	39	-	225.2	78
	step	NoC	39	-	209.5	76
	ability	NoC	39	-	435.3	97
	review	NoC	39	-	283.7	83
	goods	NoC	39	-	571.8	109
	favour	NoC	39	+	87.7	22
	reference	NoC	39	-	272.4	82
	middle	Adj	38	-	188.8	73
	mainly	Adv	38	-	202.3	74
	faith	NoC	38	-	48.2	54
	provided	Verb	38	-	999.8	140
	goodness	NoC	38	+	308.7	12
	dogs	NoC	38	-	8.3	44
	admit	Verb	38	+	0.1	37
	improve	Verb	38	-	120.6	65
	feeling	Verb	38	-	87.4	60
	study	NoC	38	-	2046.9	209
	Jack	NoP	38	-	76.7	59
	under	Adv	38	-	69.5	58
	chips	NoC	38	+	198.4	16
	shopping	NoC	38	+	34.6	27
	cope	Verb	38	-	1.1	40
	appointment	NoC	38	-	11.6	45
	royal	Adj	38	-	1291.4	160
	engine	NoC	38	-	35.5	51
	procedure	NoC	38	-	88.5	60
	song	NoC	38	-	1.0	40
	receive	Verb	38	-	249.0	79
	key	NoC	38	-	29.2	50
	equipment	NoC	38	-	424.8	95
	hotel	NoC	38	-	775.1	123
	July	NoP	38	-	843.9	128
	hurt	Verb	38	+	0.0	38
	stayed	Verb	38	-	8.9	44
	inside	Adv	38	-	34.4	51
	memory	NoC	38	-	266.1	80
	balance	NoC	38	-	319.4	86
	recording	Verb	38	+	259.2	14
	duty	NoC	38	-	321.8	86
	even though	Conj	38	-	99.1	61
	lead	Verb	38	-	446.6	97
	independent	Adj	38	-	542.2	105
	route	NoC	38	-	79.4	59
	longer	Adj	38	-	0.4	39
	Sue	NoP	38	+	276.4	13
	industrial	Adj	38	-	804.5	125
	changing	Verb	38	+	0.8	36
	parish	NoC	38	-	0.7	39
	strategy	NoC	38	-	123.0	64
	minus	NoC	38	+	1143.2	2
	best	Adv	38	-	327.4	86
	technology	NoC	38	-	836.1	127
	international	Adj	38	-	2595.2	242
	herself	Pron	38	-	1723.7	187
	element	NoC	38	-	77.6	58
	vote	Verb	37	+	94.8	21
	speaker	NoC	37	-	313.2	84
	little	DetP	37	-	1917.5	200
	November	NoP	37	-	495.4	100
	relief	NoC	37	-	170.3	70
	pulled	Verb	37	-	205.1	73
	Wales	NoP	37	-	485.1	99
	according to	Prep	37	-	1478.9	171
	holidays	NoC	37	+	28.9	27
	Germany	NoP	37	-	675.9	114
	distance	NoC	37	-	173.9	70
	impact	NoC	37	-	259.5	79
	mortgage	NoC	37	+	26.5	28
	types	NoC	37	-	431.3	95
	Bob	NoP	37	-	3.0	41
	season	NoC	37	-	722.0	118
	Nick	NoP	37	+	29.2	27
	decisions	NoC	37	-	270.0	80
	thick	Adj	37	-	22.9	47
	press	Verb	37	+	20.8	29
	wearing	Verb	37	-	41.2	51
	Andy	NoP	37	+	30.7	27
	maths	NoC	37	+	550.1	7
	develop	Verb	37	-	407.2	92
	Phil	NoP	37	+	141.4	18
	sentence	NoC	37	-	98.4	60
	boring	Adj	37	+	238.6	14
	hi	Int	37	+	610.9	6
	theatre	NoC	37	-	108.1	61
	face	Verb	37	-	184.8	71
	facilities	NoC	37	-	273.0	80
	difficulty	NoC	37	-	148.7	66
	personally	Adv	37	+	41.8	25
	ensure	Verb	37	-	636.5	111
	Charlotte	NoP	37	+	253.3	13
	thousands	NoC	37	-	75.8	57
	glasses	NoC	37	+	56.8	24
	profit	NoC	37	-	83.3	58
	breakfast	NoC	37	-	13.5	44
	king	NoC	37	-	1338.8	160
	accepted	Verb	37	-	320.6	84
	items	NoC	37	-	190.4	71
	parliament	NoC	37	-	551.8	104
	tiny	Adj	37	-	77.6	57
	collect	Verb	37	+	25.6	27
	knowledge	NoC	37	-	1314.3	158
	patients	NoC	36	-	1788.9	189
	sign	Verb	36	+	56.4	23
	becomes	Verb	36	-	302.9	82
	fifth	Ord	36	+	0.4	35
	October	NoP	36	-	694.0	114
	ee	Int	36	+	1164.9	1
	resolution	NoC	36	-	0.1	37
	unions	NoC	36	-	21.0	46
	showed	Verb	36	-	706.8	115
	clever	Adj	36	+	69.1	22
	growth	NoC	36	-	1061.1	141
	match	NoC	36	-	210.8	72
	dirty	Adj	36	+	37.7	25
	bags	NoC	36	+	92.1	20
	in case	Conj	36	+	89.0	21
	meeting	Verb	36	-	27.6	47
	negative	Adj	36	-	23.3	46
	recent	Adj	36	-	1540.6	173
	performance	NoC	36	-	1065.8	141
	pen	NoC	36	+	127.9	18
	Simon	NoP	36	-	12.4	44
	length	NoC	36	-	244.7	76
	units	NoC	36	-	231.8	74
	ever so	Adv	36	+	921.0	3
	bike	NoC	36	+	168.0	16
	bridge	NoC	36	-	110.4	61
	chairman	NoC	36	+	1474.2	0
	arm	NoC	36	-	496.1	98
	membership	NoC	36	-	69.3	55
	nose	NoC	36	-	15.4	44
	cross	NoC	36	-	14.4	44
	leader	NoC	36	-	513.1	99
	in relation to	Prep	36	-	30.1	48
	stood	Verb	36	-	1119.7	144
	seat	NoC	36	-	150.4	65
	advertising	NoC	36	-	7.3	41
	risk	NoC	36	-	677.2	112
	possibility	NoC	36	-	245.9	75
	parties	NoC	36	-	1030.2	137
	spell	Verb	36	+	516.5	7
	United	NoP-	36	-	838.5	124
	standards	NoC	36	-	571.5	103
	conservative*	Adj	36	-	169.6	67
	dangerous	Adj	36	-	114.5	61
	deep	Adj	35	-	345.5	84
	lives	Verb	35	+	30.1	26
	December	NoP	35	-	534.9	100
	pattern	NoC	35	-	498.1	97
	medical	Adj	35	-	525.7	100
	peasants	NoC	35	+	182.8	15
	prefer	Verb	35	-	0.8	37
	sleep	NoC	35	-	4.9	40
	theory	NoC	35	-	1108.9	142
	effort	NoC	35	-	330.2	83
	sad	Adj	35	+	0.3	34
	gold	NoC	35	-	286.1	79
	firm	NoC	35	-	458.1	94
	include	Verb	35	-	1453.6	165
	boxes	NoC	35	+	29.3	26
	tremendous	Adj	35	+	113.9	18
	Neil	NoP	35	+	7.5	30
	context	NoC	35	-	434.3	92
	expected	Verb	35	-	1366.9	159
	river	NoC	35	-	547.7	101
	criteria	NoC	35	-	5.2	40
	keen	Adj	35	-	0.6	37
	knock	Verb	35	+	340.6	10
	sheep	NoC	35	+	8.2	30
	lads	NoC	35	+	232.4	13
	procedures	NoC	35	-	77.9	55
	design	NoC	35	-	927.9	129
	touch	Verb	35	+	35.8	25
	doubt	NoC	35	-	183.6	68
	thought	NoC	35	-	567.3	102
	providing	Verb	35	-	232.7	73
	series	NoC	35	-	1323.1	156
	mayor	NoC	35	+	86.5	20
	effective	Adj	35	-	628.5	107
	stairs	NoC	35	-	0.8	37
	style	NoC	35	-	739.5	115
	mad	Adj	35	+	4.2	31
	league	NoC	35	-	408.3	89
	mess	NoC	35	+	103.7	19
	total	NoC	35	-	64.2	53
	as though	Conj	35	-	88.3	56
	beyond	Prep	35	-	719.5	114
	art	NoC	35	-	1487.6	166
	protection	NoC	35	-	374.3	86
	crime	NoC	35	-	265.5	76
	count	Verb	35	+	84.1	20
	puts	Verb	35	+	12.0	28
	hmm	Int	35	+	826.9	3
	States	NoP	35	-	430.2	90
	living	NoC	35	-	33.4	47
	activity	NoC	35	-	875.0	124
	remind	Verb	35	+	155.2	15
	Birmingham	NoP	35	+	0.0	34
	roof	NoC	35	-	14.1	42
	mark	NoC	34	+	0.4	33
	finding	Verb	34	-	97.4	57
	doctors	NoC	34	-	32.5	46
	gentleman	NoC	34	-	75.2	54
	courses	NoC	34	-	379.7	86
	pages	NoC	34	-	27.9	45
	kill	Verb	34	-	35.8	47
	driver	NoC	34	-	92.3	56
	working	Adj	34	-	149.9	63
	Ken	NoP	34	+	5.4	30
	staying	Verb	34	+	14.7	27
	shh	Int	34	+	1435.3	0
	biggest	Adj	34	-	40.9	48
	regular	Adj	34	-	319.4	80
	Gary	NoP	34	+	44.0	23
	factory	NoC	34	-	38.5	47
	campaign	NoC	34	-	530.0	98
	queen	NoC	34	-	342.6	82
	behaviour	NoC	34	-	1013.3	133
	last	Verb	34	+	13.6	27
	grant	NoC	34	-	7.2	39
	helped	Verb	34	-	333.3	81
	closed	Verb	34	-	364.3	84
	principle	NoC	34	-	404.8	87
	hold	NoC	34	+	7.6	29
	calls	NoC	34	+	2.3	31
	fingers	NoC	34	-	132.7	61
	knowing	Verb	34	-	48.4	49
	create	Verb	34	-	406.5	87
	effectively	Adv	34	-	70.6	52
	eggs	NoC	34	-	3.5	38
	unemployment	NoC	34	-	197.2	68
	present	NoC	34	-	16.9	42
	now that	Conj	34	+	4.8	30
	voluntary	Adj	34	-	8.0	40
	stories	NoC	34	-	50.3	49
	next to	Prep	34	+	5.1	30
	colours	NoC	34	-	32.7	46
	on top of	Prep	34	+	26.4	25
	past	Adj	34	-	508.2	95
	turning	Verb	34	-	137.2	61
	affect	Verb	34	-	53.6	49
	helpful	Adj	33	+	1.0	32
	joint	Adj	33	-	205.9	68
	Jonathan	NoP	33	+	172.9	14
	advantage	NoC	33	-	309.3	78
	whilst	Conj	33	-	143.3	61
	later	Adj	33	-	362.9	83
	begin	Verb	33	-	327.9	80
	proposal	NoC	33	-	23.0	43
	sound	Verb	33	+	5.1	29
	picking	Verb	33	+	74.7	19
	professional	Adj	33	-	751.4	113
	da	NoC	33	+	1062.8	1
	tickets	NoC	33	+	21.0	25
	dear	NoC	33	+	181.3	14
	carrying	Verb	33	-	119.9	58
	consideration	NoC	33	-	108.3	57
	funding	NoC	33	-	11.6	40
	pretty	Adj	33	+	11.0	27
	sum	NoC	33	-	17.9	42
	sake	NoC	33	+	0.3	32
	furniture	NoC	33	-	1.7	36
	grass	NoC	33	-	20.1	42
	supply	NoC	33	-	265.6	74
	strategic	Adj	33	+	2.9	30
	pocket	NoC	33	-	1.8	36
	egg	NoC	33	+	27.9	24
	hard	Adv	33	-	287.8	76
	van	NoC	33	+	70.0	20
	wet	Adj	33	-	2.3	36
	knocked	Verb	33	+	41.5	22
	bathroom	NoC	33	+	27.7	24
	perfectly	Adv	33	-	37.0	46
	fancy	Verb	33	+	314.4	9
	Harrogate	NoP	33	+	623.8	4
	point	Verb	33	+	0.0	33
	countryside	NoC	33	-	12.7	40
	button	NoC	33	+	153.9	15
	effects	NoC	33	-	801.8	116
	Colin	NoP	33	+	29.4	24
	defence	NoC	33	-	939.4	126
	drive	NoC	33	-	54.8	49
	iron	NoC	33	-	44.5	47
	Ben	NoP	33	+	0.4	32
	Leeds	NoP	33	-	64.2	50
	teeth	NoC	33	-	58.7	49
	walk	NoC	33	-	11.1	39
	technical	Adj	33	-	257.2	72
	schemes	NoC	33	-	82.8	53
	Harlow	NoP	33	+	881.8	2
	relevant	Adj	33	-	398.9	85
	chief	Adj	33	-	346.3	80
	acid	NoC	33	-	71.7	51
	saved	Verb	33	+	0.1	32
	skin	NoC	33	-	272.0	73
	massive	Adj	32	-	36.5	45
	writing	NoC	32	-	106.2	56
	factors	NoC	32	-	507.8	93
	survey	NoC	32	-	398.0	84
	standard	Adj	32	-	308.2	76
	bottom	Adj	32	+	109.0	16
	bear	Verb	32	-	49.5	47
	pink	Adj	32	+	2.5	30
	empty	Adj	32	-	114.9	56
	Square	NoC	32	-	28.7	43
	hat	NoC	32	+	0.4	31
	Christopher	NoP	32	+	41.8	22
	honourable	Adj	32	+	466.5	6
	broke	Verb	32	-	96.3	54
	edge	NoC	32	-	345.3	80
	electricity	NoC	32	-	10.7	39
	railway	NoC	32	-	320.7	77
	degrees	NoC	32	+	0.6	31
	average	Adj	32	-	191.7	65
	beat	Verb	32	-	48.1	47
	savings	NoC	32	+	0.9	30
	borrow	Verb	32	+	192.7	12
	flat	Adj	32	-	6.9	37
	marks	NoC	32	+	5.6	28
	trousers	NoC	32	+	40.1	22
	standard	NoC	32	-	132.7	58
	Emma	NoP	32	+	185.8	13
	assume	Verb	32	-	24.8	42
	wherever	Adv	32	+	38.3	22
	refer	Verb	32	-	11.4	39
	metal	NoC	32	-	57.2	48
	marvellous	Adj	32	+	98.7	17
	exam	NoC	32	+	459.4	6
	legislation	NoC	32	-	292.8	74
	consultation	NoC	32	+	24.4	23
	enormous	Adj	32	-	31.8	43
	following	Verb	32	-	974.3	126
	fruit	NoC	32	-	27.4	42
	record	Verb	32	+	35.7	22
	agricultural	Adj	32	-	24.6	42
	carefully	Adv	32	-	321.9	76
	neck	NoC	32	-	142.2	59
	mile	NoC	32	-	0.0	32
	cutting	Verb	32	+	4.6	28
	wondered	Verb	32	-	77.0	50
	mistake	NoC	32	-	10.8	38
	altogether	Adv	31	-	0.2	32
	Liverpool	NoP	31	-	137.6	58
	welcome	Verb	31	+	5.9	27
	Joe	NoP	31	-	41.4	45
	somehow	Adv	31	-	51.2	46
	rough	Adj	31	-	2.1	34
	executive	NoC	31	-	404.1	83
	Geoff	NoP	31	+	259.5	10
	charge	Verb	31	+	187.5	12
	holding	Verb	31	-	328.8	77
	helping	Verb	31	-	19.1	40
	reduction	NoC	31	-	78.3	50
	petrol	NoC	31	+	25.0	23
	fun	NoC	31	-	3.5	35
	compared	Verb	31	-	554.4	95
	race	NoC	31	-	362.0	79
	fortnight	NoC	31	+	171.1	13
	joined	Verb	31	-	335.9	77
	Jenny	NoP	31	+	100.1	16
	treatment	NoC	31	-	1086.2	133
	lead*	NoC	31	-	138.5	57
	potatoes	NoC	31	+	121.3	15
	cupboard	NoC	31	+	174.0	12
	cheque	NoC	31	+	63.6	19
	in particular	Adv	31	-	269.8	71
	respect	NoC	31	-	89.9	51
	light	Adj	31	-	216.6	66
	loss	NoC	31	-	989.1	126
	flowers	NoC	31	-	129.8	56
	watched	Verb	31	-	274.5	71
	annual	Adj	31	-	453.6	86
	option	NoC	31	-	134.8	57
	speech	NoC	31	-	422.1	84
	wanting	Verb	31	+	19.3	23
	prime	Adj	31	-	1074.8	131
	track	NoC	31	-	165.1	60
	individuals	NoC	31	-	446.3	86
	appear	Verb	31	-	881.1	118
	standing	NoC	31	+	3.6	28
	absolute	Adj	31	-	5.2	35
	Oxfordshire	NoP	31	+	134.2	14
	just about	Adv	31	+	169.6	12
	suggestion	NoC	31	-	0.0	31
	hundreds	NoC	31	-	26.7	41
	watch	NoC	31	+	1.4	29
	Manchester	NoP	31	-	98.9	52
	originally	Adv	31	-	58.3	47
	brown	Adj	31	-	58.3	47
	nasty	Adj	31	+	87.8	16
	report	Verb	31	+	0.7	29
	works	NoC	31	-	481.8	88
	Fox	NoP	31	+	178.6	12
	along with	Prep	31	-	105.8	53
	amongst	Prep	31	-	63.5	47
	ice	NoC	31	-	29.4	41
	demand	NoC	30	-	577.3	95
	switch	Verb	30	+	115.5	15
	realise	Verb	30	-	23.4	40
	aid	NoC	30	-	432.1	84
	plastic	NoC	30	-	31.3	42
	peace	NoC	30	-	580.0	95
	August	NoP	30	-	446.6	85
	easter	NoC	30	+	90.1	16
	accounts	NoC	30	-	256.5	69
	reduce	Verb	30	-	334.7	76
	wondering	Verb	30	+	12.1	24
	yard	NoC	30	-	1.9	33
	required	Verb	30	-	1489.3	157
	Tory	Adj	30	-	5.6	35
	avoid	Verb	30	-	453.8	85
	event	NoC	30	-	813.3	112
	amazing	Adj	30	+	70.5	17
	orders	NoC	30	-	125.5	55
	back	Adj	30	+	71.5	17
	seconds	NoC	30	-	39.8	43
	calling	Verb	30	-	35.1	42
	respond	Verb	30	-	9.1	36
	customer	NoC	30	-	76.9	49
	primary	Adj	30	-	543.1	92
	fresh	Adj	30	-	303.7	72
	outside	Adj	30	-	14.2	37
	forest	NoC	30	-	332.7	75
	feels	Verb	30	-	2.3	33
	strike	NoC	30	-	27.3	40
	worst	Adj	30	-	70.1	47
	comment	Verb	30	+	57.1	18
	classes	NoC	30	-	216.8	64
	still	Adj	30	+	0.3	29
	carpet	NoC	30	+	16.8	23
	laugh	Verb	30	+	37.8	20
	chapter	NoC	30	-	1589.3	163
	clean	Verb	30	+	109.7	15
	ridiculous	Adj	30	+	64.5	18
	northern	Adj	30	-	282.7	70
	rooms	NoC	30	-	162.3	58
	included	Verb	30	-	1140.3	133
	homework	NoC	30	+	411.5	6
	danger	NoC	30	-	216.8	64
	session	NoC	30	-	62.5	46
	appreciate	Verb	30	+	4.1	26
	plate	NoC	30	-	38.8	42
	stop	NoC	30	+	43.5	19
	Leicester	NoP	29	+	63.0	17
	presentation	NoC	29	-	2.6	32
	activities	NoC	29	-	1031.4	126
	dealt	Verb	29	-	10.5	36
	aspects	NoC	29	-	379.0	78
	article	NoC	29	-	311.0	72
	Stuart	NoP	29	+	34.4	20
	interests	NoC	29	-	839.4	113
	understanding	NoC	29	-	413.4	81
	customers	NoC	29	-	312.3	72
	desk	NoC	29	-	72.5	47
	caused	Verb	29	-	712.1	103
	no longer	Adv	29	-	601.7	95
	cut	NoC	29	+	0.1	29
	sports	NoC	29	-	60.9	45
	brothers	NoC	29	-	15.5	37
	across	Adv	29	-	11.4	36
	answers	NoC	29	-	2.7	32
	introduced	Verb	29	-	568.6	92
	nights	NoC	29	+	0.5	28
	neighbours	NoC	29	-	2.1	32
	perfect	Adj	29	-	180.2	59
	discussed	Verb	29	-	345.1	75
	blah	Int	29	+	853.7	2
	cause	Verb	29	-	201.1	61
	underneath	Prep	29	+	292.0	8
	contribution	NoC	29	-	151.7	56
	rent	NoC	29	+	0.6	28
	cold	NoC	29	+	15.1	23
	drugs	NoC	29	-	152.5	56
	longer	Adv	29	-	6.2	34
	southern	Adj	29	-	169.9	58
	clients	NoC	29	-	105.7	51
	his*	Pron	29	-	108.5	51
	master	NoC	29	-	242.8	65
	reform	NoC	29	-	159.2	57
	credit	NoC	29	-	360.1	76
	virtually	Adv	29	-	67.0	46
	recorded	Verb	29	-	195.9	61
	following	Adj	29	-	1348.7	146
	star	NoC	29	-	238.3	65
	confidence	NoC	29	-	352.2	75
	interview	NoC	29	-	59.4	44
	kid	NoC	29	+	94.7	15
	funds	NoC	29	-	256.2	66
	will	NoC	29	-	206.7	61
	difficulties	NoC	29	-	333.4	73
	reading	NoC	29	-	99.1	50
	left	Adj	29	-	710.9	102
	alone	Adj	29	-	168.4	57
	Ireland	NoP	29	-	735.6	104
	times	Prep	29	+	605.6	3
	fight	Verb	29	-	40.9	41
	summat	Pron	29	+	760.2	2
	past	Adv	29	+	29.1	20
	gun	NoC	29	-	13.7	36
	commitment	NoC	29	-	193.1	60
	super	Adj	29	+	96.2	15
	encourage	Verb	29	-	136.8	54
	rural	Adj	29	-	263.1	66
	row	NoC	29	-	107.3	50
	sign	NoC	29	-	217.0	62
	biscuits	NoC	29	+	260.4	8
	spending	Verb	28	-	0.4	30
	sensible	Adj	28	+	0.3	27
	helps	Verb	28	-	0.0	28
	senior	Adj	28	-	534.8	89
	plant	NoC	28	-	417.3	80
	laughing	Verb	28	+	8.4	24
	share	NoC	28	-	527.4	88
	whoever	Pron	28	+	117.7	13
	Selby	NoP	28	+	864.8	1
	split	Verb	28	+	3.9	25
	singing	Verb	28	+	22.6	21
	requirements	NoC	28	-	241.1	64
	taught	Verb	28	-	31.4	39
	bound	Verb	28	-	97.8	49
	learnt	Verb	28	+	21.0	21
	machines	NoC	28	-	107.3	50
	salt	NoC	28	-	0.4	29
	reach	Verb	28	-	343.0	73
	oi	Int	28	+	790.0	2
	licence	NoC	28	-	19.8	37
	impression	NoC	28	-	61.1	44
	essentially	Adv	28	-	23.1	37
	thinking	NoC	28	-	64.1	44
	buses	NoC	28	+	115.4	13
	sweet	Adj	28	-	10.2	34
	ticket	NoC	28	+	19.4	21
	microphone	NoC	28	+	411.6	5
	West	NoP-	28	-	624.7	95
	granddad	NoC	28	+	1196.7	0
	lay	Verb	28	-	694.7	100
	opportunities	NoC	28	-	219.7	62
	grandma	NoC	28	+	668.1	2
	directly	Adv	28	-	626.0	95
	jump	Verb	28	+	78.0	15
	ship	NoC	28	-	68.7	45
	enter	Verb	28	-	160.5	56
	media	NoC	28	-	506.5	86
	vehicle	NoC	28	-	63.6	44
	programmes	NoC	28	-	301.7	69
	golf	NoC	28	-	14.7	35
	angle	NoC	28	+	5.0	24
	move	NoC	28	-	342.5	72
	damage	NoC	28	-	388.5	76
	followed	Verb	28	-	1658.2	163
	sport	NoC	28	-	89.4	47
	lying	Verb	28	-	98.1	48
	target	NoC	28	-	303.4	69
	control	Verb	28	-	162.2	55
	electric	Adj	28	-	14.5	35
	revolution	NoC	28	-	102.1	49
	St	NoP-	28	-	999.4	120
	shape	NoC	28	-	276.5	66
	tables	NoC	28	-	1.3	30
	channel	NoC	28	-	49.4	41
	claim	NoC	28	-	322.7	70
	unemployed	Adj	28	-	0.0	28
	wage	NoC	28	-	5.3	32
	stuck	Adj	28	+	154.5	11
	runs	Verb	28	-	49.6	41
	drawn	Verb	28	-	450.1	81
	enquiry	NoC	27	+	55.0	17
	whenever	Adv	27	-	7.1	32
	laid	Verb	27	-	236.8	62
	civil	Adj	27	-	619.3	93
	applications	NoC	27	-	281.7	67
	square	Adj	27	+	1.2	26
	huh	Int	27	+	586.7	3
	luck	NoC	27	-	8.0	32
	finger	NoC	27	-	8.2	33
	opposite	Adj	27	-	8.8	33
	band	NoC	27	-	346.2	72
	la	Fore	27	+	42.8	18
	straight away	Adv	27	+	336.5	6
	popular	Adj	27	-	932.2	115
	method	NoC	27	-	690.5	98
	lesson	NoC	27	+	9.8	22
	arms	NoC	27	-	1002.1	120
	network	NoC	27	-	416.4	78
	currently	Adv	27	-	390.2	75
	in favour of	Prep	27	-	24.2	37
	guilty	Adj	27	-	69.8	44
	willing	Adj	27	-	47.6	41
	other than	Prep	27	-	76.4	45
	relatively	Adv	27	-	514.8	85
	kinds	NoC	27	-	109.8	49
	nor	Conj	27	-	1247.6	136
	just	Adj	27	+	38.8	18
	Arthur	NoP	27	-	0.6	29
	foreign	Adj	27	-	1909.8	177
	charges	NoC	27	-	251.7	63
	weird	Adj	27	+	208.4	9
	holy	Adj	27	-	3.5	30
	losing	Verb	27	-	22.6	36
	elderly	Adj	27	-	141.7	52
	um	Int	27	+	439.5	4
