	Word	PoS	FrSp		LL	FrWr
	God	NoP	305	+	536.0	190
	local	Adj	301	-	602.0	462
	maybe	Adv	301	+	2996.1	82
	certainly	Adv	299	+	682.1	173
	name	NoC	299	+	104.6	244
	bad	Adj	296	+	1262.0	136
	eighty	Num	296	+	10313.7	8
	obviously	Adv	296	+	2620.9	89
	government	NoC	295	-	2425.5	660
	sixty	Num	294	+	8781.8	15
	life	NoC	293	-	1821.6	598
	call	Verb	290	+	1624.5	117
	whatever	DetP	289	+	1663.0	114
	leave	Verb	289	+	583.0	173
	took	Verb	287	-	351.4	404
	moment	NoC	285	+	196.6	214
	times	NoC	284	-	2.4	293
	working	Verb	282	+	412.8	184
	important	Adj	280	-	411.2	405
	twelve	Num	278	+	4881.9	41
	water	NoC	278	-	180.8	358
	left	Verb	278	-	125.4	343
	ever	Adv	275	+	12.0	257
	suppose	Verb	275	+	2237.7	88
	stuff	NoC	274	+	4430.3	45
	back	NoC	270	+	259.9	192
	kind	NoC	270	+	101.2	219
	at all	Adv	270	+	961.2	134
	dad	NoC	268	+	3870.9	51
	S / s	Lett	267	+	3846.8	51
	everybody	Pron	267	+	4882.7	37
	already	Adv	267	-	210.6	352
	talk	Verb	266	+	1339.7	113
	home	Adv	265	+	275.9	185
	am	Verb	264	+	3.1	255
	shall	VMod	264	+	201.0	195
	wrong	Adj	263	+	841.3	136
	E / e	Lett	263	+	4180.2	44
	together	Adv	262	-	84.3	313
	buy	Verb	261	+	1380.0	108
	started	Verb	261	+	436.5	165
	most	DetP	261	-	814.4	441
	John	NoP	260	-	172.3	336
	read	Verb	260	+	60.5	221
	ago	Adv	259	+	200.2	191
	county	NoC	258	+	1648.7	96
	against	Prep	257	-	2347.4	597
	believe	Verb	257	+	105.7	207
	door	NoC	255	+	0.1	253
	hear	Verb	254	+	935.1	124
	minutes	NoC	253	+	278.3	175
	idea	NoC	253	+	66.2	213
	within	Prep	253	-	1165.1	472
	move	Verb	251	+	915.4	123
	group	NoC	249	-	871.1	433
	anybody	Pron	249	+	5359.7	26
	world	NoC	248	-	2867.8	629
	whole	Adj	248	+	52.6	212
	bloody	Adj	247	+	4983.3	30
	mind	Verb	246	+	3245.2	51
	T / t	Lett	245	+	4186.5	37
	O / o	Lett	245	+	5747.6	22
	round	Prep	245	+	1320.3	100
	person	NoC	244	-	1.5	250
	only	Adj	244	+	8.6	229
	case	NoC	243	-	1106.7	453
	each	DetP	243	-	1947.3	539
	M / m	Lett	242	+	5455.1	24
